# Time-averaged data for fix cell_info
# TimeStep v_avol v_alx v_aly v_alz
2000 2305.31 12.9945 12.9945 13.6475
4000 2296.48 12.977 12.977 13.6291
6000 2225.94 12.8447 12.8447 13.4902
8000 2197.37 12.7877 12.7877 13.4303
10000 2195.84 12.7856 12.7856 13.4281
12000 2247.35 12.8851 12.8851 13.5326
14000 2281.63 12.9507 12.9507 13.6015
16000 2216.72 12.8261 12.8261 13.4706
18000 2250.06 12.891 12.891 13.5388
20000 2338.15 13.056 13.056 13.7121
22000 2290.22 12.9673 12.9673 13.6189
24000 2274.28 12.9367 12.9367 13.5868
26000 2260.54 12.9101 12.9101 13.5589
28000 2336.11 13.0527 13.0527 13.7086
30000 2343.39 13.0643 13.0643 13.7208
32000 2328.24 13.0381 13.0381 13.6933
34000 2324.98 13.0321 13.0321 13.687
36000 2326.13 13.0345 13.0345 13.6895
38000 2314.69 13.0121 13.0121 13.6659
40000 2304.77 12.9947 12.9947 13.6477
42000 2303.93 12.9916 12.9916 13.6445
44000 2328.46 13.0384 13.0384 13.6936
46000 2322.78 13.0285 13.0285 13.6832
48000 2321.96 13.027 13.027 13.6816
50000 2302.68 12.9907 12.9907 13.6435
52000 2302.29 12.9896 12.9896 13.6423
54000 2307.12 12.9987 12.9987 13.6519
56000 2305.92 12.997 12.997 13.6502
58000 2297.03 12.9802 12.9802 13.6325
60000 2266.57 12.9214 12.9214 13.5707
62000 2293.45 12.9732 12.9732 13.6251
64000 2308.67 13.0021 13.0021 13.6555
66000 2293.33 12.9731 12.9731 13.6251
68000 2280.37 12.9483 12.9483 13.5989
70000 2280.11 12.9479 12.9479 13.5985
72000 2278.62 12.9457 12.9457 13.5962
74000 2263.96 12.9178 12.9178 13.567
76000 2281.71 12.9514 12.9514 13.6023
78000 2279.05 12.9463 12.9463 13.5969
80000 2278.9 12.946 12.946 13.5965
82000 2263.93 12.9173 12.9173 13.5664
84000 2269.04 12.9272 12.9272 13.5768
86000 2266.74 12.923 12.923 13.5724
88000 2259.04 12.9084 12.9084 13.5571
90000 2259.29 12.9089 12.9089 13.5576
92000 2253.22 12.8971 12.8971 13.5452
94000 2247.69 12.8866 12.8866 13.5342
96000 2243.97 12.8797 12.8797 13.5269
98000 2239.09 12.8704 12.8704 13.5172
100000 2235.95 12.8644 12.8644 13.5108
