# Time-averaged data for fix potential_info
# TimeStep v_apot
2000 -564.57
4000 -543.27
6000 -539.415
8000 -539.939
10000 -550.026
12000 -549.057
14000 -541.242
16000 -548
18000 -559.056
20000 -561.505
22000 -561.753
24000 -566.729
26000 -569.379
28000 -568.041
30000 -571.799
32000 -569.969
34000 -572.91
36000 -574.564
38000 -578.044
40000 -580.172
42000 -580.09
44000 -581.487
46000 -582.453
48000 -584.826
50000 -586.312
52000 -588.528
54000 -589.313
56000 -592.071
58000 -594.852
60000 -596.963
62000 -597.623
64000 -597.69
66000 -600.628
68000 -602.262
70000 -601.949
72000 -603.668
74000 -605.315
76000 -607.424
78000 -608.66
80000 -610.646
82000 -611.801
84000 -613.433
86000 -614.854
88000 -616.615
90000 -618.378
92000 -619.896
94000 -621.629
96000 -623.13
98000 -624.684
100000 -626.169
