# Time-averaged data for fix 11coord
# TimeStep c_sumcoor11
2000 0.000729167
4000 0.00125
6000 0.000833333
8000 0.00364583
10000 0.0021875
12000 0.00489583
14000 0.00239583
16000 0.005
18000 0.00416667
20000 0.00697917
22000 0.00635417
24000 0.0028125
26000 0.00104167
28000 0.003125
30000 0.0180208
32000 0.0103125
34000 0.0078125
36000 0.0117708
38000 0
40000 0.0009375
42000 0.000208333
44000 0.00145833
46000 0.00135417
48000 0.00614583
50000 0.00510417
52000 0.0122917
54000 0.00375
56000 0.00177083
58000 0.000104167
60000 0.00822917
62000 0.00697917
64000 0.0096875
66000 0.00458333
68000 0
70000 0
72000 0.0046875
74000 0.00614583
76000 0.0152083
78000 0.0145833
80000 0
82000 0
84000 0.0135417
86000 0.0161458
88000 0.0163542
90000 0.01625
92000 0.0169792
94000 0.0186458
96000 0.0179167
98000 0.0198958
100000 0.020625
