# Time-averaged data for fix temp_info
# TimeStep v_atemp
2000 5646.36
4000 5815.95
6000 5840.27
8000 5686.16
10000 5414.56
12000 5355.98
14000 5153.28
16000 5072.05
18000 4973.09
20000 4953.35
22000 4629.96
24000 4677.19
26000 4467.46
28000 4316.44
30000 4155.32
32000 4208.25
34000 4070.55
36000 3920.18
38000 3858.08
40000 3684.31
42000 3583.85
44000 3442.18
46000 3225.98
48000 3156.52
50000 2995.73
52000 2988.17
54000 2725.13
56000 2706.53
58000 2570.12
60000 2494.09
62000 2402.99
64000 2276.27
66000 2114.29
68000 2051.04
70000 1909.88
72000 1781.67
74000 1623.11
76000 1555.78
78000 1413.49
80000 1281.81
82000 1144.12
84000 1019.48
86000 901.694
88000 795.896
90000 675.312
92000 557.635
94000 446.131
96000 307.949
98000 188.083
100000 73.1826
