# Time-averaged data for fix 12coord
# TimeStep c_sumcoor12
2000 1.32901
4000 1.32214
6000 1.32187
8000 1.31891
10000 1.3174
12000 1.30818
14000 1.32021
16000 1.3263
18000 1.33188
20000 1.33135
22000 1.33292
24000 1.33443
26000 1.33411
28000 1.3337
30000 1.33297
32000 1.33375
34000 1.33385
36000 1.33344
38000 1.3338
40000 1.33344
42000 1.33344
44000 1.33339
46000 1.33333
48000 1.33365
50000 1.33339
52000 1.33344
54000 1.33333
56000 1.33344
58000 1.33333
60000 1.33333
62000 1.33333
64000 1.33333
66000 1.33333
68000 1.33333
70000 1.33333
72000 1.33333
74000 1.33333
76000 1.33333
78000 1.33333
80000 1.33333
82000 1.33333
84000 1.33333
86000 1.33333
88000 1.33333
90000 1.33333
92000 1.33333
94000 1.33333
96000 1.33333
98000 1.33333
100000 1.33333
