# Time-averaged data for fix 22coord
# TimeStep c_sumcoor22
2000 0.0198958
4000 0.0211458
6000 0.034375
8000 0.0207292
10000 0.023125
12000 0.0217708
14000 0.0182292
16000 0.0185417
18000 0.0190625
20000 0.0188542
22000 0.0128125
24000 0.0245833
26000 0.0203125
28000 0.0169792
30000 0.0152083
32000 0.0178125
34000 0.0122917
36000 0.0102083
38000 0.014375
40000 0.0119792
42000 0.0130208
44000 0.0127083
46000 0.0132292
48000 0.0113542
50000 0.00625
52000 0.00708333
54000 0.00520833
56000 0.00510417
58000 0.00427083
60000 0.00395833
62000 0.0046875
64000 0.0034375
66000 0.00291667
68000 0.00239583
70000 0.00229167
72000 0.0021875
74000 0.0021875
76000 0.00135417
78000 0.0009375
80000 0.00114583
82000 0.000416667
84000 0.00104167
86000 0.000104167
88000 0.0003125
90000 0.0003125
92000 0.000208333
94000 0.000208333
96000 0.000208333
98000 0.000208333
100000 0
