# Time-averaged data for fix 11coord
# TimeStep c_sumcoor11
2000 0
4000 0.000208333
6000 0.0059375
8000 0.0151042
10000 0.0205208
12000 0.00614583
14000 0.006875
16000 0.0148958
18000 0.0138542
20000 0.009375
22000 0.00625
24000 0.00895833
26000 0.0105208
28000 0.0101042
30000 0.0108333
32000 0.00572917
34000 0.008125
36000 0.00520833
38000 0
40000 0.0034375
42000 0.00302083
44000 0.00552083
46000 0.00260417
48000 0.00427083
50000 0.00541667
52000 0.0040625
54000 0.0107292
56000 0.0123958
58000 0.00239583
60000 0.00104167
62000 0.00614583
64000 0.0015625
66000 0.000833333
68000 0.00135417
70000 0.00291667
72000 0.0133333
74000 0.011875
76000 0.00802083
78000 0.011875
80000 0.00520833
82000 0.00291667
84000 0.00270833
86000 0.000520833
88000 0.0071875
90000 0.00541667
92000 0.00197917
94000 0.0135417
96000 0.0053125
98000 0.0105208
100000 0.0182292
102000 0.001875
104000 0.00479167
106000 0.018125
108000 0.0160417
110000 0.00625
112000 0.0117708
114000 0.0071875
116000 0.010625
118000 0.003125
120000 0.00354167
122000 0.00260417
124000 0.0123958
126000 0.00729167
128000 0.0040625
130000 0.00135417
132000 0.00260417
134000 0.0003125
136000 0.00166667
138000 0.00729167
140000 0.00520833
142000 0.0196875
144000 0.00864583
146000 0.00385417
148000 0.0084375
150000 0.016875
152000 0.016875
154000 0.0209375
156000 0.0166667
158000 0.0175
160000 0.0185417
162000 0.0104167
164000 0.000729167
166000 0
168000 0.00416667
170000 0.00447917
172000 0.0114583
174000 0.000625
176000 0.000833333
178000 0.00197917
180000 0.00135417
182000 0.0059375
184000 0.00479167
186000 0.0059375
188000 0.00510417
190000 0
192000 0.000833333
194000 0.00729167
196000 0.00739583
198000 0.00864583
200000 0.00260417
202000 0.00354167
204000 0.00364583
206000 0.00333333
208000 0.00822917
210000 0.005625
212000 0.0152083
214000 0.00229167
216000 0.001875
218000 0.0034375
220000 0.00135417
222000 0.000208333
224000 0.00302083
226000 0.00177083
228000 0.000416667
230000 0.000416667
232000 0.003125
234000 0.001875
236000 0.0009375
238000 0.00302083
240000 0.00135417
242000 0.000625
244000 0.00239583
246000 0.000729167
248000 0
250000 0.000416667
252000 0
254000 0.000729167
256000 0.0034375
258000 0.00427083
260000 0.0003125
262000 0.00135417
264000 0.00260417
266000 0.00114583
268000 0.00260417
270000 0.0145833
272000 0.0184375
274000 0.0303125
276000 0.0164583
278000 0.0284375
280000 0.031875
282000 0.0246875
284000 0.0321875
286000 0.0163542
288000 0.0169792
290000 0.0170833
292000 0.0133333
294000 0.0147917
296000 0.014375
298000 0.0120833
300000 0.0188542
302000 0.0175
304000 0.00875
306000 0
308000 0
310000 0.00166667
312000 0
314000 0
316000 0.00291667
318000 0
320000 0.0003125
322000 0
324000 0
326000 0
328000 0
330000 0
332000 0
334000 0
336000 0
338000 0
340000 0
342000 0
344000 0.00208333
346000 0.0009375
348000 0
350000 0
352000 0.000208333
354000 0.00354167
356000 0
358000 0
360000 0
362000 0.00229167
364000 0.000833333
366000 0.00125
368000 0.0003125
370000 0
372000 0.0009375
374000 0.00166667
376000 0
378000 0
380000 0.0015625
382000 0
384000 0.000416667
386000 0
388000 0
390000 0
392000 0.000520833
394000 0
396000 0.00197917
398000 0.0021875
400000 0.00135417
402000 0
404000 0.000208333
406000 0.000416667
408000 0.000416667
410000 0
412000 0
414000 0
416000 0
418000 0.000833333
420000 0.000520833
422000 0.000625
424000 0
426000 0.0003125
428000 0
430000 0.000208333
