# Time-averaged data for fix 12coord
# TimeStep c_sumcoor12
2000 1.32208
4000 1.31771
6000 1.31839
8000 1.30156
10000 1.28844
12000 1.3026
14000 1.26927
16000 1.24802
18000 1.27063
20000 1.27406
22000 1.26276
24000 1.26094
26000 1.25396
28000 1.25245
30000 1.27604
32000 1.3349
34000 1.32573
36000 1.32734
38000 1.32167
40000 1.29667
42000 1.29193
44000 1.2787
46000 1.32453
48000 1.33115
50000 1.33031
52000 1.31875
54000 1.29026
56000 1.30026
58000 1.34234
60000 1.31219
62000 1.29766
64000 1.3563
66000 1.34688
68000 1.33906
70000 1.33568
72000 1.32495
74000 1.35401
76000 1.34536
78000 1.33953
80000 1.34802
82000 1.34276
84000 1.33984
86000 1.3451
88000 1.34609
90000 1.35333
92000 1.35469
94000 1.35026
96000 1.36286
98000 1.35464
100000 1.36464
102000 1.36031
104000 1.33411
106000 1.32964
108000 1.34688
110000 1.34339
112000 1.35245
114000 1.35958
116000 1.35062
118000 1.34208
120000 1.35615
122000 1.37104
124000 1.36214
126000 1.36167
128000 1.36391
130000 1.36656
132000 1.36677
134000 1.37609
136000 1.37521
138000 1.37969
140000 1.36047
142000 1.35516
144000 1.35573
146000 1.3563
148000 1.36208
150000 1.35521
152000 1.37349
154000 1.37156
156000 1.36516
158000 1.36568
160000 1.36151
162000 1.3687
164000 1.37437
166000 1.38818
168000 1.36531
170000 1.3725
172000 1.37328
174000 1.36281
176000 1.36333
178000 1.36026
180000 1.36474
182000 1.36917
184000 1.37385
186000 1.37464
188000 1.3751
190000 1.36583
192000 1.37323
194000 1.36411
196000 1.37068
198000 1.35812
200000 1.35661
202000 1.36016
204000 1.35417
206000 1.34563
208000 1.33703
210000 1.3325
212000 1.33427
214000 1.34104
216000 1.36073
218000 1.35427
220000 1.35797
222000 1.34641
224000 1.34792
226000 1.35667
228000 1.35771
230000 1.35786
232000 1.36703
234000 1.37276
236000 1.36583
238000 1.35604
240000 1.35031
242000 1.35198
244000 1.3526
246000 1.34849
