# Time-averaged data for fix 22coord
# TimeStep c_sumcoor22
2000 0.02375
4000 0.0285417
6000 0.040625
8000 0.0720833
10000 0.0889583
12000 0.0730208
14000 0.0796875
16000 0.07125
18000 0.0813542
20000 0.0858333
22000 0.0547917
24000 0.0671875
26000 0.0776042
28000 0.066875
30000 0.0565625
32000 0.0445833
34000 0.0544792
36000 0.0529167
38000 0.0553125
40000 0.06625
42000 0.0841667
44000 0.0816667
46000 0.0753125
48000 0.065
50000 0.0696875
52000 0.08
54000 0.074375
56000 0.0545833
58000 0.0546875
60000 0.0552083
62000 0.0479167
64000 0.0526042
66000 0.0610417
68000 0.0514583
70000 0.0435417
72000 0.0452083
74000 0.0522917
76000 0.0542708
78000 0.04875
80000 0.0513542
82000 0.046875
84000 0.0489583
86000 0.0477083
88000 0.0522917
90000 0.0598958
92000 0.05125
94000 0.0447917
96000 0.0504167
98000 0.0748958
100000 0.0727083
102000 0.0628125
104000 0.0621875
106000 0.0444792
108000 0.0422917
110000 0.0366667
112000 0.039375
114000 0.0372917
116000 0.04
118000 0.0403125
120000 0.0325
122000 0.0509375
124000 0.0492708
126000 0.0408333
128000 0.0409375
130000 0.0451042
132000 0.0336458
134000 0.0388542
136000 0.0460417
138000 0.0486458
140000 0.0495833
142000 0.0498958
144000 0.0509375
146000 0.05125
148000 0.0289583
150000 0.0321875
152000 0.0316667
154000 0.0330208
156000 0.0321875
158000 0.0286458
160000 0.030625
162000 0.0290625
164000 0.029375
166000 0.0269792
168000 0.0297917
170000 0.0335417
172000 0.0334375
174000 0.0329167
176000 0.0390625
178000 0.0347917
180000 0.0322917
182000 0.0347917
184000 0.0339583
186000 0.029375
188000 0.0322917
190000 0.03
192000 0.0283333
194000 0.0271875
196000 0.0307292
198000 0.0355208
200000 0.0303125
202000 0.0358333
204000 0.0341667
206000 0.0310417
208000 0.0347917
210000 0.0317708
212000 0.0297917
214000 0.0282292
216000 0.0298958
218000 0.0316667
220000 0.0390625
222000 0.031875
224000 0.03125
226000 0.0344792
228000 0.0313542
230000 0.0342708
232000 0.0341667
234000 0.0353125
236000 0.0366667
238000 0.03375
240000 0.0363542
242000 0.0291667
244000 0.0370833
246000 0.033125
248000 0.0358333
250000 0.0336458
252000 0.0316667
254000 0.0317708
256000 0.0288542
258000 0.0286458
260000 0.02875
262000 0.0314583
264000 0.03
266000 0.0277083
268000 0.0242708
270000 0.0290625
272000 0.0234375
274000 0.0247917
276000 0.026875
278000 0.02625
280000 0.0242708
282000 0.0233333
284000 0.023125
286000 0.0232292
288000 0.0195833
290000 0.0226042
292000 0.0221875
294000 0.0207292
296000 0.0216667
298000 0.0221875
300000 0.0233333
302000 0.0217708
304000 0.0182292
306000 0.0190625
308000 0.0236458
310000 0.0159375
312000 0.0215625
314000 0.0173958
316000 0.0203125
318000 0.0225
320000 0.0179167
322000 0.0186458
324000 0.0186458
326000 0.0184375
328000 0.0135417
330000 0.0178125
332000 0.0172917
334000 0.0163542
336000 0.0163542
338000 0.0176042
340000 0.018125
342000 0.0196875
344000 0.0155208
346000 0.01625
348000 0.0190625
350000 0.016875
352000 0.0189583
354000 0.0188542
356000 0.0178125
358000 0.0182292
360000 0.0166667
362000 0.018125
364000 0.0195833
366000 0.0196875
368000 0.0183333
370000 0.0188542
372000 0.0152083
374000 0.0167708
376000 0.0160417
378000 0.014375
380000 0.0175
382000 0.0175
384000 0.0179167
386000 0.0157292
388000 0.0186458
390000 0.015
392000 0.0190625
394000 0.019375
396000 0.0178125
398000 0.01875
400000 0.0178125
402000 0.0180208
404000 0.0177083
406000 0.0183333
408000 0.0147917
410000 0.01625
412000 0.0139583
414000 0.0172917
416000 0.0158333
418000 0.0185417
420000 0.0177083
422000 0.0173958
424000 0.0167708
426000 0.0155208
428000 0.018125
430000 0.0140625
432000 0.013125
434000 0.0146875
436000 0.014375
438000 0.0130208
440000 0.0113542
442000 0.0141667
444000 0.0129167
446000 0.01375
448000 0.0157292
450000 0.0125
452000 0.0151042
454000 0.0159375
456000 0.0134375
458000 0.0148958
460000 0.0125
462000 0.0129167
464000 0.0130208
466000 0.0117708
468000 0.01375
470000 0.0140625
472000 0.0120833
474000 0.0116667
476000 0.0123958
478000 0.0122917
480000 0.010625
482000 0.0117708
484000 0.00979167
486000 0.0090625
488000 0.0110417
490000 0.0111458
492000 0.013125
494000 0.0141667
496000 0.0105208
498000 0.0090625
500000 0.0111458
502000 0.0101042
504000 0.0090625
506000 0.0101042
508000 0.0121875
510000 0.0101042
512000 0.00916667
514000 0.00895833
516000 0.0115625
518000 0.0096875
520000 0.0105208
522000 0.009375
524000 0.010625
526000 0.0103125
528000 0.0102083
530000 0.0113542
532000 0.0109375
534000 0.00885417
536000 0.01125
538000 0.0110417
540000 0.0090625
542000 0.0120833
544000 0.0110417
546000 0.0111458
548000 0.0107292
550000 0.009375
552000 0.0109375
554000 0.0111458
556000 0.0119792
558000 0.0105208
560000 0.0109375
562000 0.010625
564000 0.0104167
566000 0.011875
568000 0.0096875
570000 0.0096875
572000 0.0109375
574000 0.0103125
576000 0.0103125
578000 0.0102083
580000 0.00895833
582000 0.0090625
584000 0.00916667
586000 0.00947917
588000 0.0084375
590000 0.009375
592000 0.00739583
594000 0.00802083
596000 0.00760417
598000 0.00729167
600000 0.00770833
602000 0.00645833
604000 0.0084375
606000 0.0071875
608000 0.00854167
610000 0.00760417
612000 0.00572917
614000 0.00541667
616000 0.00697917
618000 0.00635417
620000 0.00697917
622000 0.00708333
624000 0.00625
626000 0.00666667
628000 0.0065625
630000 0.00666667
632000 0.00583333
634000 0.00520833
636000 0.00510417
638000 0.0053125
640000 0.00510417
642000 0.0053125
644000 0.00635417
646000 0.00645833
648000 0.00552083
650000 0.0059375
652000 0.0053125
654000 0.00708333
656000 0.0071875
658000 0.00677083
660000 0.00645833
662000 0.00583333
664000 0.0053125
666000 0.00541667
668000 0.00666667
670000 0.005625
672000 0.00708333
674000 0.00552083
676000 0.00583333
678000 0.0065625
680000 0.00697917
682000 0.00458333
684000 0.00520833
686000 0.00614583
688000 0.006875
690000 0.00802083
692000 0.00604167
694000 0.005
696000 0.00489583
698000 0.0053125
700000 0.005625
702000 0.00729167
704000 0.0059375
706000 0.00552083
708000 0.004375
710000 0.00635417
712000 0.00604167
714000 0.00552083
716000 0.005625
718000 0.00625
720000 0.00604167
722000 0.00552083
724000 0.00520833
726000 0.005625
728000 0.00604167
730000 0.00635417
732000 0.004375
734000 0.00604167
736000 0.00552083
738000 0.0046875
740000 0.00541667
742000 0.00447917
744000 0.00604167
746000 0.00479167
748000 0.00614583
750000 0.0053125
752000 0.00541667
754000 0.00520833
756000 0.0059375
758000 0.005
