# Time-averaged data for fix temp_info
# TimeStep v_atemp
2000 5688.7
4000 6006.69
6000 5940.49
8000 5839.89
10000 5937.19
12000 5862.86
14000 5880.89
16000 5933.58
18000 5943.78
20000 5883.35
22000 5728.56
24000 5780.5
26000 5574.35
28000 5658.65
30000 5663.26
32000 5702.14
34000 5625.13
36000 5348.6
38000 5438.53
40000 5528.9
42000 5702.19
44000 5596.38
46000 5507.29
48000 5194.91
50000 5495.8
52000 5353.21
54000 5307.47
56000 5316.32
58000 5229.65
60000 5298.95
62000 5223.75
64000 5299.88
66000 5154.65
68000 5108.54
70000 5133.54
72000 5004.13
74000 5245.84
76000 4992.71
78000 5148.39
80000 4986.28
82000 5097.83
84000 4812.68
86000 4917.28
88000 5013.64
90000 4879.85
92000 4994.74
94000 4858.37
96000 4831.62
98000 4818.42
100000 4605.56
102000 4851.46
104000 4798.27
106000 4621.88
108000 4794.53
110000 4642.08
112000 4576.71
114000 4602.97
116000 4624.71
118000 4583.54
120000 4652.49
122000 4538.44
124000 4584
126000 4454.82
128000 4458.83
130000 4509.2
132000 4369.26
134000 4265.39
136000 4274.91
138000 4206.78
140000 4144.98
142000 4183.59
144000 4191.56
146000 4178.61
148000 4185.72
150000 4239.97
152000 4030.36
154000 4147.18
156000 4047.76
158000 4076.21
160000 4036.09
162000 4057.94
164000 4130.86
166000 3954.05
168000 4095.34
170000 3942.27
172000 3924.71
174000 3962.76
176000 4134.59
178000 4023.47
180000 4040.62
182000 4101.62
184000 4129.9
186000 4075.3
188000 4084.72
190000 3989.83
192000 3998.82
194000 3904.19
196000 3952.12
198000 4046.32
200000 4090.61
202000 3963.65
204000 3938.47
206000 3924.36
208000 3998.02
210000 4052.55
212000 4128.74
214000 4043.63
216000 4120.09
218000 4048.08
220000 3903.42
222000 3994.32
224000 4098.33
226000 3929.55
228000 3917.13
230000 4044.07
232000 4016.87
234000 4095.67
236000 3996.61
238000 3948.48
240000 3920.35
242000 4044.94
244000 4012.29
246000 3909.02
248000 3922.11
250000 3895.5
252000 3919.3
254000 3903.82
256000 3810.69
258000 3718.69
260000 3856.52
262000 3674.18
264000 3719.78
266000 3733.9
268000 3620.28
270000 3648.22
272000 3699.34
274000 3495.67
276000 3616.59
278000 3573.14
280000 3463.54
282000 3393.6
284000 3436.81
286000 3494.75
288000 3351.18
290000 3468.45
292000 3361.73
294000 3341.16
296000 3389.22
298000 3334.66
300000 3257.73
302000 3321.38
304000 3253.95
306000 3214.91
308000 3112.93
310000 3205.43
312000 3182.4
314000 3139.51
316000 3161.94
318000 2986.14
320000 3003.74
322000 2979.21
324000 2914.39
326000 3032.52
328000 3060.91
330000 3047.43
332000 2979.13
334000 3020.93
336000 2915.91
338000 3053.54
340000 3040.65
342000 3036.76
344000 3016.02
346000 2996.9
348000 3029.82
350000 3077.99
352000 3035.93
354000 3085.87
356000 3027.95
358000 3046.23
360000 3043.31
362000 2968.09
364000 2933.15
366000 3074.27
368000 3006.54
370000 2929.48
372000 2930.74
374000 2930.85
376000 3067.88
378000 3033.38
380000 3088.29
382000 2922.91
384000 3027.83
386000 2977.13
388000 2946.91
390000 2962.13
392000 3097.26
394000 2920.26
396000 3027.32
398000 3099.69
400000 3045.95
402000 3017.72
404000 2913.12
406000 2956.53
408000 2940.28
410000 2928.91
412000 2898.82
414000 2944.33
416000 2867.26
418000 2758.64
420000 2749.63
422000 2703.3
424000 2702.39
426000 2684.38
428000 2720.13
430000 2599.47
432000 2589.21
434000 2540.85
436000 2633.57
438000 2595.32
440000 2528.01
442000 2544.39
444000 2523.1
446000 2461.54
448000 2389.31
450000 2380.33
452000 2405.72
454000 2294.03
456000 2381.49
458000 2348.35
460000 2234.64
462000 2225.13
464000 2242.46
466000 2123.58
468000 2145.75
470000 2125.18
472000 2082.08
474000 2092.69
476000 2020.51
478000 2019.09
480000 2071.34
482000 2019.25
484000 1993.65
486000 2021.78
488000 1979.09
490000 1954.46
492000 1950.93
494000 1996.47
496000 1979.88
498000 1952.75
500000 2021.73
502000 1976.41
504000 2024.98
506000 2032.36
508000 2031.44
510000 1991.18
512000 2043.25
514000 2046.04
516000 1988.38
518000 1945.84
520000 1988.78
522000 1992.62
524000 2004.84
526000 1946.44
528000 1939.57
530000 2029.66
532000 1967.54
534000 2035.8
536000 2061.11
538000 2024.54
540000 2000.76
542000 1956.94
544000 2019.33
546000 2051
548000 1999.02
550000 2040.82
552000 1947.06
554000 1943.3
556000 2061.24
558000 1967.62
560000 2020.38
562000 1987.04
564000 2007.89
566000 1973.87
568000 1926.51
570000 1902.01
572000 1914.17
574000 1857.73
576000 1818
578000 1739.51
580000 1741.71
582000 1748.48
584000 1705
586000 1671.35
588000 1679.05
590000 1655.51
592000 1606.72
594000 1617.9
596000 1583.57
598000 1571.78
600000 1478.38
602000 1471.66
604000 1425.89
606000 1398.15
608000 1408.74
610000 1373.2
612000 1352.02
614000 1298.93
616000 1359.68
618000 1322.36
620000 1260.78
622000 1206.51
624000 1206.05
626000 1206.59
628000 1163.54
630000 1162.37
632000 1118.07
634000 1060.23
636000 1068.47
638000 1057.03
640000 990.159
642000 1000.26
644000 1019.31
646000 1028.26
648000 996.197
650000 983.717
652000 974.606
654000 989.507
656000 990.396
658000 975.533
660000 1022.54
662000 1019.62
664000 987.074
666000 963.791
668000 993.372
670000 1036.96
672000 1007.46
674000 991.562
676000 1021.24
678000 1024.62
680000 978.691
682000 977.792
684000 980.562
686000 1020.05
688000 1000.99
690000 967.926
692000 1011.19
694000 1029.96
696000 1014.95
698000 1002.04
700000 1010.86
702000 985.119
704000 1001.7
706000 1009.83
708000 973.463
710000 974.861
712000 980.134
714000 1000.03
716000 1016.56
718000 1002.99
720000 999.462
722000 993.77
724000 970.069
726000 950.472
728000 946.592
730000 961.654
732000 903.039
734000 904.781
736000 893.506
738000 882.346
740000 900.814
742000 886.716
744000 876.869
746000 817.514
748000 821.599
750000 834.855
752000 803.181
754000 818.287
756000 785.702
758000 791.158
760000 754.742
762000 749.169
764000 714.929
766000 729.564
768000 729.988
770000 680.465
772000 682.311
774000 669.238
776000 649.507
778000 662.467
780000 638.853
782000 636.687
784000 616.742
786000 611.684
788000 583.004
790000 572.417
792000 565.09
794000 548.032
796000 532.818
798000 509.815
800000 513.007
802000 504.754
804000 515.407
806000 488.089
808000 510.639
810000 505.935
812000 506.93
814000 491.93
816000 490.47
818000 489.87
820000 495.761
822000 511.563
824000 488.847
826000 503.322
828000 498.512
830000 486.874
832000 501.78
834000 508.627
836000 506.066
838000 500.554
840000 492.593
842000 505.241
844000 494.838
846000 493.905
848000 510.254
850000 506.956
852000 510.183
854000 489.576
856000 486.341
858000 487.359
860000 505.979
862000 516.369
864000 503.152
866000 483.613
868000 500.077
870000 495.773
872000 493.706
874000 494.106
876000 484.376
878000 507.476
880000 515.471
882000 491.007
884000 491.878
886000 454.781
888000 454.18
890000 455.616
892000 440.126
894000 411.122
896000 414.863
898000 402.659
900000 391.023
902000 382.024
904000 359.278
906000 338.757
908000 326.399
910000 323.437
912000 319.549
914000 296.787
916000 282.831
918000 264.591
920000 267.709
922000 253.818
924000 238.146
926000 230.207
928000 219.571
930000 205.582
932000 189.949
934000 177.415
936000 161.391
938000 152.167
940000 135.327
942000 123.831
944000 116.32
946000 104.904
948000 91.8227
950000 79.6469
952000 67.1496
954000 54.8315
956000 40.995
958000 28.2727
960000 15.9775
962000 9.65511
964000 10.2034
966000 10.2008
968000 9.83105
970000 10.1448
972000 10.2431
974000 10.2737
976000 10.0397
978000 9.73418
980000 9.81251
982000 10.1343
984000 10.3002
986000 9.97915
988000 9.82359
990000 9.88157
992000 10.0316
994000 9.8078
996000 10.2377
998000 9.99093
1000000 10.0797
1002000 10.2571
1004000 9.82657
1006000 10.3239
1008000 9.90136
1010000 9.76385
1012000 9.79425
1014000 9.81198
1016000 9.60756
1018000 10.1348
1020000 10.2266
1022000 10.3047
1024000 10.033
1026000 10.1359
1028000 9.80497
1030000 9.72753
1032000 9.91116
1034000 9.72041
1036000 9.7642
1038000 9.96938
1040000 10.2908
