# Time-averaged data for fix cell_info
# TimeStep v_avol v_alx v_aly v_alz
2000 2302.7 12.9896 12.9896 13.6424
4000 2315.75 13.0151 13.0151 13.6691
6000 2227.02 12.8445 12.8445 13.4899
8000 2215.75 12.8243 12.8243 13.4687
10000 2247.85 12.8858 12.8858 13.5333
12000 2277.83 12.9374 12.9374 13.5875
14000 2116.59 12.6255 12.6255 13.2599
16000 1673.6 11.6737 11.6737 12.2603
18000 1532.99 11.3425 11.3425 11.9124
20000 1790.43 11.94 11.94 12.54
22000 1844.16 12.06 12.06 12.666
24000 1570.52 11.4303 11.4303 12.0047
26000 1530.1 11.3358 11.3358 11.9054
28000 1451.37 11.1372 11.1372 11.6969
30000 1431.51 11.0827 11.0827 11.6396
32000 1507.65 11.2769 11.2769 11.8436
34000 1640.84 11.6002 11.6002 12.1831
36000 1760.54 11.8773 11.8773 12.4742
38000 1770.8 11.9012 11.9012 12.4992
40000 1742.2 11.8335 11.8335 12.4282
42000 1704.04 11.7457 11.7457 12.3359
44000 1748.1 11.8509 11.8509 12.4464
46000 1839.34 12.0531 12.0531 12.6588
48000 1722.2 11.7918 11.7918 12.3844
50000 1711.29 11.7658 11.7658 12.357
52000 1530.85 11.3363 11.3363 11.906
54000 1581.58 11.4555 11.4555 12.0312
56000 1509.23 11.2842 11.2842 11.8512
58000 1550.28 11.3827 11.3827 11.9547
60000 1605.08 11.5162 11.5162 12.095
62000 1545.39 11.3731 11.3731 11.9447
64000 1541.42 11.363 11.363 11.934
66000 1552.44 11.3875 11.3875 11.9598
68000 1530.75 11.3369 11.3369 11.9066
70000 1549.62 11.3833 11.3833 11.9553
72000 1525.98 11.325 11.325 11.8941
74000 1431.6 11.0873 11.0873 11.6444
76000 1538.03 11.3539 11.3539 11.9245
78000 1492.66 11.2405 11.2405 11.8054
80000 1550.53 11.3851 11.3851 11.9572
82000 1584.87 11.467 11.467 12.0433
84000 1544.37 11.3712 11.3712 11.9426
86000 1537.33 11.3527 11.3527 11.9232
88000 1523.14 11.3123 11.3123 11.8808
90000 1524.29 11.3194 11.3194 11.8882
92000 1495.17 11.2484 11.2484 11.8136
94000 1530.8 11.3365 11.3365 11.9062
96000 1536.49 11.3514 11.3514 11.9219
98000 1482.75 11.216 11.216 11.7796
100000 1429.96 11.0823 11.0823 11.6392
102000 1471.75 11.1902 11.1902 11.7525
104000 1462.52 11.1661 11.1661 11.7272
106000 1436.94 11.1011 11.1011 11.6589
108000 1487.51 11.2299 11.2299 11.7942
110000 1475.27 11.1978 11.1978 11.7605
112000 1407.13 11.0227 11.0227 11.5766
114000 1383.91 10.9624 10.9624 11.5133
116000 1402.83 11.0126 11.0126 11.566
118000 1345.65 10.859 10.859 11.4046
120000 1362.4 10.9049 10.9049 11.4528
122000 1326.85 10.8102 10.8102 11.3534
124000 1365.57 10.9119 10.9119 11.4602
126000 1367.34 10.9183 10.9183 11.467
128000 1398.33 11.001 11.001 11.5538
130000 1381.52 10.9556 10.9556 11.5062
132000 1372.24 10.9304 10.9304 11.4797
134000 1324.28 10.8023 10.8023 11.3452
136000 1415.33 11.0439 11.0439 11.5989
138000 1369.52 10.924 10.924 11.4729
140000 1303.58 10.7457 10.7457 11.2857
142000 1352.92 10.8789 10.8789 11.4256
144000 1374.25 10.9364 10.9364 11.486
146000 1414.72 11.043 11.043 11.5979
148000 1406.65 11.0217 11.0217 11.5755
150000 1370.11 10.924 10.924 11.473
152000 1344.67 10.8577 10.8577 11.4033
154000 1293.13 10.7163 10.7163 11.2548
156000 1299.38 10.7343 10.7343 11.2737
158000 1335.3 10.8321 10.8321 11.3764
160000 1313.16 10.7726 10.7726 11.314
162000 1299.54 10.7352 10.7352 11.2746
164000 1287.46 10.6992 10.6992 11.2369
166000 1312.07 10.7697 10.7697 11.3109
168000 1338.14 10.8392 10.8392 11.3839
170000 1290.8 10.7112 10.7112 11.2494
172000 1267.06 10.6447 10.6447 11.1796
174000 1280.92 10.6814 10.6814 11.2182
176000 1307.3 10.7555 10.7555 11.296
178000 1313.82 10.7738 10.7738 11.3152
180000 1373.44 10.9338 10.9338 11.4833
182000 1400.26 11.006 11.006 11.5591
184000 1400.82 11.0071 11.0071 11.5602
186000 1376.13 10.9405 10.9405 11.4903
188000 1361.3 10.9029 10.9029 11.4508
190000 1344.2 10.8567 10.8567 11.4023
192000 1338.87 10.8423 10.8423 11.3871
194000 1398.56 11.0011 11.0011 11.5539
196000 1390.5 10.9787 10.9787 11.5304
198000 1374.05 10.9369 10.9369 11.4865
200000 1378.33 10.948 10.948 11.4981
202000 1408.35 11.0251 11.0251 11.5791
204000 1391.96 10.9836 10.9836 11.5355
206000 1397.62 10.9985 10.9985 11.5512
208000 1389.09 10.9761 10.9761 11.5277
210000 1404.14 11.0159 11.0159 11.5694
212000 1365.34 10.9132 10.9132 11.4616
214000 1378.97 10.9485 10.9485 11.4987
216000 1385.26 10.9664 10.9664 11.5175
218000 1392.94 10.9865 10.9865 11.5385
220000 1377.92 10.9455 10.9455 11.4955
222000 1396.64 10.9963 10.9963 11.5489
224000 1394.86 10.9911 10.9911 11.5434
226000 1427.79 11.0771 11.0771 11.6338
228000 1472.61 11.1911 11.1911 11.7535
230000 1487.73 11.2303 11.2303 11.7946
232000 1485.17 11.2222 11.2222 11.7862
234000 1458.85 11.1575 11.1575 11.7182
236000 1375.43 10.9403 10.9403 11.49
238000 1416.21 11.0461 11.0461 11.6012
240000 1440.38 11.11 11.11 11.6683
242000 1443.22 11.1173 11.1173 11.676
244000 1458.61 11.1568 11.1568 11.7174
246000 1455.88 11.1499 11.1499 11.7102
248000 1480.95 11.2125 11.2125 11.776
250000 1445.18 11.122 11.122 11.6809
252000 1401.11 11.0066 11.0066 11.5597
254000 1489.85 11.2344 11.2344 11.7989
256000 1455.57 11.149 11.149 11.7092
258000 1448.44 11.1299 11.1299 11.6892
260000 1467.47 11.1786 11.1786 11.7403
262000 1456.43 11.1506 11.1506 11.7109
264000 1466.68 11.1773 11.1773 11.739
266000 1479.06 11.2081 11.2081 11.7713
268000 1541.19 11.3633 11.3633 11.9343
270000 1503.46 11.2694 11.2694 11.8357
272000 1465.41 11.1731 11.1731 11.7345
274000 1440.16 11.1091 11.1091 11.6673
276000 1445.33 11.1213 11.1213 11.6801
278000 1451.35 11.1378 11.1378 11.6975
280000 1416.32 11.0474 11.0474 11.6026
282000 1453.15 11.1426 11.1426 11.7025
284000 1465.33 11.1736 11.1736 11.7351
286000 1498.87 11.2578 11.2578 11.8235
288000 1499.04 11.2583 11.2583 11.824
290000 1489.38 11.2343 11.2343 11.7989
292000 1501.56 11.2644 11.2644 11.8304
294000 1487 11.2283 11.2283 11.7925
296000 1488.63 11.2324 11.2324 11.7969
298000 1493.23 11.2441 11.2441 11.8091
300000 1453.6 11.1439 11.1439 11.7039
302000 1496.01 11.2511 11.2511 11.8164
304000 1487.05 11.2285 11.2285 11.7927
306000 1474.67 11.1974 11.1974 11.76
308000 1518.67 11.3069 11.3069 11.8751
310000 1547.35 11.3774 11.3774 11.9491
312000 1513.32 11.2947 11.2947 11.8623
314000 1528.34 11.3318 11.3318 11.9012
316000 1507.89 11.2805 11.2805 11.8473
318000 1534.48 11.3465 11.3465 11.9167
320000 1517.24 11.3039 11.3039 11.8719
322000 1527.53 11.3293 11.3293 11.8986
324000 1551.15 11.387 11.387 11.9592
326000 1510.15 11.2867 11.2867 11.8539
328000 1499.99 11.2602 11.2602 11.826
330000 1516.32 11.302 11.302 11.8699
332000 1530.21 11.3359 11.3359 11.9055
334000 1513.04 11.2937 11.2937 11.8612
336000 1504.77 11.2718 11.2718 11.8382
338000 1509.71 11.2852 11.2852 11.8523
340000 1512.72 11.2926 11.2926 11.8601
342000 1490.25 11.2356 11.2356 11.8002
344000 1515.06 11.2982 11.2982 11.866
346000 1519.76 11.3101 11.3101 11.8784
348000 1529.76 11.3351 11.3351 11.9047
350000 1536.86 11.3526 11.3526 11.9231
352000 1536.44 11.3519 11.3519 11.9224
354000 1514.73 11.2974 11.2974 11.8651
356000 1512.1 11.2909 11.2909 11.8583
358000 1525.48 11.3245 11.3245 11.8936
360000 1527.02 11.3277 11.3277 11.8969
362000 1522.58 11.3165 11.3165 11.8852
364000 1548.04 11.3804 11.3804 11.9523
366000 1551.34 11.3881 11.3881 11.9604
368000 1506.65 11.2773 11.2773 11.844
370000 1524.02 11.3206 11.3206 11.8894
372000 1496.7 11.2511 11.2511 11.8165
374000 1516.24 11.3011 11.3011 11.869
376000 1519.86 11.3101 11.3101 11.8785
378000 1534.76 11.3464 11.3464 11.9165
380000 1527.44 11.3293 11.3293 11.8987
382000 1524.76 11.3229 11.3229 11.8919
384000 1530.86 11.3377 11.3377 11.9075
386000 1517.34 11.3046 11.3046 11.8726
388000 1513.27 11.2941 11.2941 11.8616
390000 1532.43 11.3413 11.3413 11.9112
392000 1517.62 11.3043 11.3043 11.8723
394000 1529.66 11.3347 11.3347 11.9043
396000 1512.29 11.2917 11.2917 11.8591
398000 1530.07 11.336 11.336 11.9056
400000 1524.3 11.3214 11.3214 11.8903
402000 1472.09 11.1902 11.1902 11.7525
404000 1479.05 11.2084 11.2084 11.7717
406000 1490.01 11.2345 11.2345 11.799
408000 1490.05 11.2365 11.2365 11.8012
410000 1490.89 11.238 11.238 11.8027
412000 1506.13 11.275 11.275 11.8415
414000 1518.32 11.3068 11.3068 11.875
416000 1498.99 11.2587 11.2587 11.8244
418000 1478.1 11.2053 11.2053 11.7684
420000 1520.12 11.3099 11.3099 11.8782
422000 1516.15 11.3015 11.3015 11.8695
424000 1522.83 11.318 11.318 11.8867
426000 1517.09 11.3037 11.3037 11.8717
428000 1468.38 11.1811 11.1811 11.743
430000 1473.34 11.1942 11.1942 11.7567
432000 1474.02 11.1951 11.1951 11.7577
434000 1469.95 11.1835 11.1835 11.7455
436000 1488.93 11.2329 11.2329 11.7974
438000 1471.34 11.1891 11.1891 11.7513
440000 1467.9 11.1805 11.1805 11.7423
442000 1503.94 11.2707 11.2707 11.837
444000 1497.88 11.2547 11.2547 11.8203
446000 1502.28 11.2667 11.2667 11.8328
448000 1483.7 11.2204 11.2204 11.7842
450000 1491.23 11.2394 11.2394 11.8042
452000 1497.03 11.2533 11.2533 11.8188
454000 1506.24 11.2758 11.2758 11.8424
456000 1489.22 11.2343 11.2343 11.7988
458000 1494.03 11.2464 11.2464 11.8116
460000 1486.74 11.2276 11.2276 11.7918
462000 1489.47 11.2349 11.2349 11.7995
464000 1485.21 11.2241 11.2241 11.7881
466000 1481.01 11.2133 11.2133 11.7768
468000 1487.1 11.2276 11.2276 11.7918
470000 1484.52 11.2225 11.2225 11.7865
472000 1483.29 11.2194 11.2194 11.7832
474000 1483.98 11.2211 11.2211 11.785
476000 1489.98 11.2349 11.2349 11.7995
478000 1491.01 11.2388 11.2388 11.8036
480000 1492.41 11.2419 11.2419 11.8068
482000 1486.6 11.2278 11.2278 11.792
484000 1481.64 11.2141 11.2141 11.7776
486000 1489.75 11.2354 11.2354 11.8
488000 1491.72 11.2397 11.2397 11.8045
490000 1476.28 11.2004 11.2004 11.7632
492000 1487.2 11.2293 11.2293 11.7936
494000 1476.16 11.2006 11.2006 11.7635
496000 1486.74 11.2274 11.2274 11.7916
498000 1486.03 11.2258 11.2258 11.7899
500000 1476.79 11.2022 11.2022 11.7651
502000 1477.34 11.2043 11.2043 11.7673
504000 1485.28 11.2245 11.2245 11.7886
506000 1499.5 11.2596 11.2596 11.8254
508000 1475.05 11.1981 11.1981 11.7608
510000 1487.43 11.2288 11.2288 11.7931
512000 1482.43 11.2166 11.2166 11.7803
514000 1493.2 11.2438 11.2438 11.8088
516000 1520.87 11.3129 11.3129 11.8814
518000 1523.51 11.3192 11.3192 11.888
520000 1528.05 11.3312 11.3312 11.9006
522000 1529.19 11.334 11.334 11.9035
524000 1530.95 11.3379 11.3379 11.9077
526000 1524.45 11.3221 11.3221 11.891
528000 1536.22 11.3512 11.3512 11.9216
530000 1523.41 11.3195 11.3195 11.8883
532000 1518.5 11.3061 11.3061 11.8743
534000 1532.65 11.3425 11.3425 11.9124
536000 1527.28 11.3291 11.3291 11.8984
538000 1506.99 11.2782 11.2782 11.845
540000 1480.52 11.2124 11.2124 11.7758
542000 1481.31 11.2128 11.2128 11.7763
544000 1485.48 11.225 11.225 11.789
546000 1478.24 11.2066 11.2066 11.7698
548000 1473.72 11.1951 11.1951 11.7577
550000 1480.93 11.2129 11.2129 11.7763
552000 1475.34 11.1992 11.1992 11.762
554000 1458.44 11.1557 11.1557 11.7163
556000 1483.47 11.2191 11.2191 11.7828
558000 1482.19 11.2165 11.2165 11.7802
560000 1483.92 11.221 11.221 11.7849
562000 1474.35 11.1965 11.1965 11.7592
564000 1478.1 11.2058 11.2058 11.7689
566000 1466.46 11.1762 11.1762 11.7378
568000 1483.56 11.22 11.22 11.7838
570000 1475.27 11.199 11.199 11.7618
572000 1483.98 11.2205 11.2205 11.7843
574000 1475.23 11.1989 11.1989 11.7617
576000 1468.92 11.183 11.183 11.745
578000 1467.63 11.1797 11.1797 11.7415
580000 1477.76 11.2048 11.2048 11.7679
582000 1474.61 11.1968 11.1968 11.7595
584000 1466.51 11.1765 11.1765 11.7382
586000 1470.73 11.1876 11.1876 11.7498
588000 1474.6 11.1974 11.1974 11.76
590000 1464.28 11.1708 11.1708 11.7321
592000 1470.63 11.1867 11.1867 11.7488
594000 1473.8 11.1953 11.1953 11.7578
596000 1469.99 11.1856 11.1856 11.7477
598000 1473.76 11.1952 11.1952 11.7578
600000 1463.79 11.1699 11.1699 11.7312
602000 1442.49 11.1151 11.1151 11.6737
604000 1417.96 11.052 11.052 11.6074
606000 1416.41 11.0481 11.0481 11.6033
608000 1418.13 11.0525 11.0525 11.6079
610000 1422.39 11.0636 11.0636 11.6196
612000 1420.88 11.0598 11.0598 11.6156
614000 1414.87 11.0442 11.0442 11.5991
616000 1417.71 11.0515 11.0515 11.6068
618000 1418.49 11.0528 11.0528 11.6082
620000 1412.51 11.0381 11.0381 11.5928
622000 1412.94 11.0392 11.0392 11.5939
